Movie/Content Name,S.No.,Movie /Content (Original Language),Language,Type of Content,Availability,Col B&W,Year  30,No. of Episodes,Length,Resolution,CC Grade,Content Owner 1,Content Owner 2,Content Owner 3,Commence Date,Expiry Date,Genre   101,Director 99,Star Cast  18,Music Director  229,Lyricist  380,Singer   437,Agreement Status,Format,Audio bitrate,Audio codec,Video bitrate,Video codec,Path,-,Size_MB,Framerate_fps
Lakhan  (2007),,,,,,,,,02:20:45,854*480,,,,,,,,,,,,,,MPEG-4,126 kbps,AAC LC,601 kbps,AVC,U:\MOVIE MASTER\Lakhan (2007)\Lakhan (Dubbed) (2007).mp4,,737.84,25.0
Lakhan (2007),,,Hindi,Movie,Yes,COL,2007.0,,,,,Ultra Cable,,,2026-04-01,2027-03-31,Action / Thriller,Upendra,"Upendra, Raveena Tandon, Arun Govil",Gurukiran,Upendra,"S. P. Balasubrahmanyam, Chitra",Yes,,,,,,,,,
Lakhon Ki Baat (1984),,,,,,,,,02:15:53,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,734 kbps,av01,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Lakhon Ki Baat (1984)\Lakhon Ki Baat (1984).mp4,,842.85,25.0
Lakhon Me Ek (1971),,,Hindi,Movie,Yes,COL,1971.0,,02:34:52,1920*1080,,Ultra Cable,,,2026-04-01,2027-03-31,"Parody, Comedy, Drama",S S Balan,"Mehmood, Radha, Aruna Irani, Pran, Madan Puri, Ramesh Deo, Kanhaiya Lal, Keshto Mukherjee, Mukri, Nasir Husain, David, Jalal Aga, Sulochana, Lalita Pawar",Burman R D,Burman R D,"Kishore Kumar, Lata Mangeshkar, Asha Bhosle",Yes,MPEG-4,128 kbps,AAC LC,1861 kbps,AVC,U:\MOVIE MASTER\Lakhon Me Ek (1971)\Lakhon Me Ek (1971).mp4,,2218.58,25.0
Lakhpati (1991),,,,,,,,,01:31:34,1920*1080,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,11529 kbps,AVC,U:\MOVIE MASTER\Lakhpati (1991)\Lakhpati (1991).mp4,,7761.27,25.0
Lakshmanrekha (1991),,,Hindi,Movie,Yes,COL,1991.0,,02:40:22,1920*816,V/U,Shemaroo,,,2026-04-01,2027-03-31,Drama,Sunil Sikand,,"Laxmikant Kudalkar, Pyarelal",Anand Bakshi,"Amit Kumar, Alka Yagnik, Asha Bhosle, Sapna Mukherjee",Yes,MPEG-4,128 kbps,AAC LC,2108 kbps,AVC,U:\MOVIE MASTER\Lakshmanrekha (1991)\Lakshmanrekha (1991).mp4,,2555.7,25.0
Lal Quila (1960),,,,,,,,,02:09:12,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1448 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Lal Quila (1960)\Lal Quila (1960).mp4,,1462.61,25.0
Lamhaa - The Untold Story Of Kashmir (2010),,,,,,,,,01:36:40,854*480,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,716 kbps,AVC,U:\MOVIE MASTER\Lamhaa - The Untold Story of Kashmir (2010)\Lamhaa - The Untold Story Of Kashmir (2010).mp4,,588.85,29.97
Lav Kush,,,,,,,,,02:14:59,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1540 kbps,AVC,U:\MOVIE MASTER\Lav Kush (1967)\Lav Kush.mp4,,1612.97,25.0
Lav Kush (1967),,,Hindi,Movie,Yes,B&W,1967.0,,02:14:59,1280*720,U,Ultra Cable,,,2026-04-01,2027-03-31,"Action,Adventure",S.N. Tripathi,"Assim Kumar, Jayshree Gadkar, Bablu, S.N. Tripathi, Dalpat",S N Tripathi,S N Tripathi,"Asha Bhosle, Usha Mangeshkar, Suman Kalyanpur, Mahendra Kapoor",Yes,MPEG-4,128 kbps,AAC LC,1540 kbps,AVC,U:\MOVIE MASTER\Lav Kush (1967)\Lav Kush (1967).mp4,,1612.97,25.0
Laxmi Narayan (1951),, Bw,Hindi,Movie,Yes,B&W,1951.0,,01:58:06,1280*720,U,Ultra Cable,,,2026-04-01,2027-03-31,Fantasy,Nanabhai Bhatt,"Meena Kumari, Mahipal .",S N Tripathi,S N Tripathi,"Geeta Dutt, Sulochana Kadam",Yes,MPEG-4,128 kbps,AAC LC,689 kbps,AVC,U:\MOVIE MASTER\Lakshmi Narayan (1951)\Laxmi Narayan (Bw) (1951).mp4,,693.44,25.0
Le Gaya Saddam (2012),,,Hindi,Movie,Yes,COL,2012.0,,0.0789699074074074,1920*1080,,Eros,,,2026-04-01,2027-03-31,Comedy,Amjad Khan,"Raghubir Yadav, Chirag Patil, Sufi Sayyad",Amjad Khan,Amjad Khan,"Roop Kumar Rathod, Krishna, Amjad Khan, Anushka Manchanda, Siddhant Madhav",Yes,MPEG-4,192 kbps,AAC LC,15744 kbps,AVC,U:\MOVIE MASTER\Le Gaya Saddam (2012)\Le Gaya Saddam (2012).mp4,,12440.35,24.0
Lekar Hum Deewana Dil (2014),,,Hindi,Movie,Yes,COL,2014.0,,02:13:25,1920*1080,,Eros,,,2026-04-01,2027-03-31,Romance/Comedy,Arif Ali,"Armaan Jain, Deeksha Seth, Nikita Dutta",A. R. Rahman,A R Rahman,"Shweta Pandit, Nakash Aziz, Raghav Mathur, Tanvi Shah, Jonita Gandhi, Hriday Gattani, Shiraz Uppal, A R Rahman ",Yes,MPEG-TS,192 kbps,AAC LC,5873 kbps,AVC,U:\MOVIE MASTER\Lekar Hum Deewana Dil (2014)\Lekar Hum Deewana Dil (2014).ts,,6270.57,
Lets Talk (2002),,,Hindi,Movie,Yes,COL,2002.0,,01:33:54,640*350,V/UA,Shemaroo,,,2026-04-01,2027-03-31,,Ram Madhvani,,Ram Sampath,,,Yes,MPEG-4,128 kbps,AAC LC,274 kbps,AVC,U:\MOVIE MASTER\Lets Talk (2002)\Lets Talk (2002).mp4,,273.61,25.0
Life Express (2010),,,,,,,,,02:02:24,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2492 kbps,AVC,U:\MOVIE MASTER\Life Express (2010)\Life Express (2010).mp4,,2298.69,25.0
Life Is Beautiful (2014),,,Hindi,Movie,Yes,COL,2014.0,,01:56:15,1920*1080,,Eros,,,2026-04-01,2027-03-31,Romance,Maj Amarnani,"Maj Amarnani, Akhi Dalvi, Nancy Brunetta, Parth Naik, Raj Zutshi",John Hunt,John Hunt,"Sonu Nigam, Shreya Ghoshal, Udit Narayan, Alka Yagnik, Rahat Fateh Ali Khan, Naushad Ali, Nikhil D'Souza, Richa Tirupati",Yes,MPEG-TS,192 kbps,AAC LC,5873 kbps,AVC,U:\MOVIE MASTER\Life Is Beautiful (2014)\Life Is Beautiful (2014).ts,,5479.7,
Life Ki Aisi Ki Taisi Ho Gayi Haalat Kaisi (2017),,,Hindi,Movie,Yes,COL,2017.0,,01:47:21,1920*1080,,Eros,,,2026-04-01,2027-03-31,Comedy,Ejaz Ahmed,"Ejaz Ahmed, Prerna Gupta, Javed Hyder, Mushtaq Khan, Muzahid Khan",Deen Mohammed,Deen Mohammed,Vivek Mishraa,Yes,MPEG-4,127 kbps,AAC LC-SBR,3500 kbps,AVC,U:\MOVIE MASTER\Life Ki Aisi Ki Taisi Ho Gayi Haalat Kaisi (2017)\Life Ki Aisi Ki Taisi Ho Gayi Haalat Kaisi (2017).mp4,,2737.08,24.0
Life Mein Hungama Hai (2013),,,Hindi,Movie,Yes,COL,2013.0,,01:56:55,1920*1080,,Ultra Cable,,,2026-04-01,2027-03-31,Adventure / Family / Comedy-Drama,Sunil Advani,"Jackie Shroff, Urmila Matondkar, Paresh Rawal, Boman Irani, Satish Shah, Mukesh Tiwari",Jeet Gannguli,"Nida Fazli, Ibrahim Ashq","Sonu Nigam, Shaan, Babul Supriyo, Mahalakshmi Iyer",Yes,MPEG-4,128 kbps,AAC LC,1744 kbps,AVC,U:\MOVIE MASTER\Life Mein Hungama Hai (2013)\Life Mein Hungama Hai (2013).mp4,,1568.16,25.0
Lipstick Under My Burkha (2017),,,Hindi,Movie,Yes,COL,2017.0,,01:58:20,1920*816,A,Ultra Cable,,,2026-04-01,2027-03-31,"Comedy, Drama",Alankrita Shrivastava,"Aahana Kumra, Konkona Sen Sharma, Plabita Borthakur, Ratna Pathak, Shashank Arora, Sonal Jha, Sushant Singh, Vikrant Massey",Zebunnissa Bangash,Zebunnissa Bangash,"Malini Awasthi, Neeti Mohan, Zebunnissa Bangash",Yes,Matroska,1509 kbps,DTS,10000 kbps,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Lipstick Under My Burkha (2017)\Lipstick Under My Burkha (2017).mkv,,9741.64,24.0
Loafer (1973),,,,,,,,,02:10:26,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2209 kbps,AVC,U:\MOVIE MASTER\Loafer (1973)\Loafer (1973).mp4,,2186.49,25.0
Local Data (2005),,,,,,,,,02:04:56,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2499 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Local Data (2005)\Local Data (2005).mp4,,2352.88,25.0
Login (2012),,,,,,,,,01:40:50,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2719 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Login (2012)\Login (2012).mp4,,2057.82,25.0
Loha,,,,,,,,,02:14:47,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,862 kbps,av01,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Loha\Loha.mp4,,959.28,25.0
Lohe Ki Zanjeer (2017),,,,,,,,,01:42:54,1920*1080,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,20902 kbps,AVC,U:\MOVIE MASTER\Lohe Ki Zanjeer (2017)\Lohe Ki Zanjeer (2017).mp4,,15619.8,25.0
Lok Parlok (1979),,https://www.youtube.com/watch?v=yg3_lt3gSec,Hindi,Movie,Yes,COL,1979.0,,0.0905324074074074,716*480,,Eagle,,,2026-04-01,2027-03-31,Fantasy / Comedy / Drama,T. Rama Rao,"Jitendra, Jaya Prada, Madan Puri, Amjad Khan",Rajesh Roshan,Anand Bakshi,"Kishore Kumar, Lata Mangeshkar, Asha Bhosle, Mohammed Rafi",Yes,MPEG-4,128 kbps,AAC LC,1171 kbps,av01,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\000 Darpan priority\Lok Parlok (1979)\Lok Parlok (1979).mp4,,1215.69,25.0
Lolly Pop (2007),,,Hindi,Movie,Yes,COL,2007.0,,01:19:17,640*480,A,Shemaroo,,,2026-04-01,2027-03-31,"Romantic, Action",,"Pawan Kumar, Nisha, Ashi, Karan",,,,Yes,MPEG-4,128 kbps,AAC LC,236 kbps,AVC,U:\MOVIE MASTER\Lolly Pop (2007)\Lolly Pop (2007).mp4,,208.6,25.0
London Calling,,,,,,,,,01:27:34,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,944 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\London Calling\London Calling.mp4,,675.52,25.0
London Dreams (2009),,,Hindi,Movie,Yes,COL,2009.0,,0.106111111111111,1920*816,,Eros,,,2026-04-01,2027-03-31,"Musical, Social, Drama, Romance",Vipul Shah,"Salman Khan, Ajay Devgn, Asin Thottumkal, Om Puri","Shankar Mahadevan, Ehsaan Noorani, Loy Mendonca","Shankar Mahadevan, Ehsaan Noorani, Loy Mendonca","Abhijit Ghoshal, Feroz Khan, Mohan, Rahat Fateh Ali Khan, Roop Kumar Rathod, Shankar Mahadevan, Vishal Dadlani, Zubeen Garg",Yes,MPEG-4,126 kbps,AAC LC,3601 kbps,AVC,U:\MOVIE MASTER\London Dreams (2009)\London Dreams (2009).mp4,,3928.29,25.0
London Rowdy  (2024),,Ellidde Illi Tanaka in Kannada,Hindi Dubed,Movie,Yes,COL,2024.0,,,,,Cable Master,,,2026-04-01,2027-03-31,Comedy,Tejaswi,"Srujan Lovkesh, Haripriya,Tara,Sadhu Kokila,Girja Lokesh.",Arjun Janya,,,Yes,,,,,,,,,
Lootere  (1993),,,,,,,,,02:35:25,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1205 kbps,AVC,U:\MOVIE MASTER\Lootere (1993)\Lootere  (1993).mp4,,1484.88,25.0
Lootere (1993),,,Hindi,Movie,No,COL,1993.0,,,,,Shemaroo,,,,,,,"SUNNY DEOL, JUHI CHAWLA, POOJA BEDI, NASEERUDDIN SHAH, CHUNKEY PANDEY AND OTHERS",,,,Expire,,,,,,,,,
Lorie (1984),,,Hindi,Movie,Yes,COL,1984.0,,02:00:23,1920*1088,U,Shemaroo,,,2026-04-01,2027-03-31,"Drama,Crime,Family",Vijay Talwar,"Shabana Azmi, Farooq Shaikh, Swaroop Sampat","Khayyam, Enoch Daniels, Anil Mohile",Bashir Khan,"Asha Bhosle, Lata Mangeshkar, Pamela Chopra",Yes,MPEG-PS,256 kbps,MPA1L2,11893 kbps,MPEG-2V,U:\MOVIE MASTER\Lorie (1984)\Lorie (1984).mpg,,10661.81,25.0
Love (1991),,,Hindi,Movie,Yes,COL,1991.0,,02:32:55,1920*1080,,Shemaroo,,,2026-04-01,2027-03-31,Romantic,Suresh Krissna,"Salman Khan, Revathi Shafi Inamdaar, Amjad Khan,",Anand Milind,Majrooh Sultanpuri,"Chitra, S.P.Balasubramaniam, Sapna Mukherjee",Yes,Matroska,,AAC LC,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Love (1991)\Love (1991).mkv,,2792.57,25.0
Love 86 (1986),,,Hindi,Movie,Yes,COL,1986.0,,02:20:35,1280*720,,Ultra Cable,,,2026-04-01,2027-03-31,LOVE STORY,Esmayeel Shroff,"Govinda , Neelam , Farha, Rohan Kapoor, Farha , Tanuja , Shafi Inamdar, Satish Shah, Asrani, Johny Lever",Laxmikant Pyarelal,S H Bihari,"Anuradha Paudwal, Shabbir Kumar, Kavita Krishnamurthy, Suresh Wadkar",Yes,MPEG-4,128 kbps,AAC LC,440 kbps,AVC,U:\MOVIE MASTER\Love 86 (1986)\Love 86 (1986).mp4,,575.04,25.0
Love Aaj Kal (2009),,,Hindi,Movie,Yes,COL,2009.0,,02:08:52,1920*816,,Eros,,,2026-04-01,2027-03-31,Romance,Imtiaz Ali,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor, Rahul Khanna, Neetu Singh",Pritam Chakraborty,Pritam Chakraborty,"K K, Master Saleem, Mohit Chauhan, Neeraj Shridhar, Rahat Fateh Ali Khan, Sunidhi Chauhan, Suzi Q",Yes,Matroska,,AAC LC-SBR,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Love Aaj Kal (2009)\Love Aaj Kal (2009).mkv,,750.48,23.976
Love Alive (2016),,,Hindi,Movie,Yes,COL,2016.0,,,,,Cable Master,,,2026-04-01,2027-03-31,,Aditya Warang,"Kajal Solanki, Abhigna Mehta, Manisha Trivedi, Qasim Khan, Raushan Jha",Ameya Naik,Ameya Naik,,Yes,,,,,,,,,
Love Alive 2016,,,,,,,,,01:27:24,1920*1080,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,9969 kbps,AVC,U:\MOVIE MASTER\Love Alive (2016)\Love Alive 2016.mp4,,6433.41,24.0
Love And Shukla (2017),,,Hindi,Movie,Yes,COL,2017.0,,01:50:06,1920*1080,,Cable Master,,,2026-04-01,2027-03-31,"Comedy, Drama, Romance",Jatla Siddartha,,Karl Heortweard,,,Yes,,,,,,,,,
Love Exchange (2015),,,Hindi,Movie,Yes,COL,2015.0,,02:00:42,1918*820,,Ultra Cable,,,2026-04-01,2027-03-31,Romance,Raj V Shetty,"Mohit Madan, Jyoti Sharma",Jaidev Kumar,Jaidev Kumar,"Ishmeet Narula, Dev Negi, Shraddha Pandit, Master Saleem, Reshma Patil, Shipra Goyal, Javed Bashir ",Yes,MPEG-4,128 kbps,AAC LC,1249 kbps,AVC,U:\MOVIE MASTER\Love Exchange (2015)\Love Exchange (2015).mp4,,1195.19,24.0
Love In Taxi (2023),,,,,,,,,1900-01-01 22:52:00,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2785 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Love In Taxi (2023)\Love In Taxi (2023).mp4,,978.78,25.0
Love In Tokyo (1966),,,Hindi,Movie,Yes,COL,1966.0,,02:49:05,1278*1080,U,Shemaroo,,,2026-04-01,2027-03-31,"Romance,Comedy ",Pramod Chakravorty,"Joy Mukherji, Asha Parekh & Others",Shankar Jaikishan,Hasrat Jaipuri,"Lata Mangeshkar, Manna Dey, Mohammed Rafi",Yes,MPEG-4,128 kbps,AAC LC,642 kbps,AVC,U:\MOVIE MASTER\Love In Tokyo (1966)\Love In Tokyo (1966).mp4,,921.47,25.0
Love Ke Liye Kuch Bhi Karega (2001),,,Hindi,Movie,Yes,COL,2001.0,,0.0904282407407407,1920*1080,U,Shemaroo,,,2026-04-01,2027-03-31,Comedy,E. Niwas,"Saif Ali Khan, Fardeen Khan, Aftab Shivdasani, Twinkle Khanna, Sonali Bendre","Vishal Bhardwaj, Sajid, Wajid",Abbas Tyrewala,"Asha Bhosle, Farid Sabri, K K, Sonu Nigam, Sunidhi Chauhan, Udit Narayan",Yes,MPEG-PS,256 kbps,MPA1L2,11889 kbps,MPEG-2V,U:\MOVIE MASTER\Love Ke Liye Kuch Bhi Karega (2001)\Love Ke Liye Kuch Bhi Karega (2001).mpg,,11745.28,25.0
Love Love Love (1989),,,Hindi,Movie,Yes,COL,1989.0,,02:25:51,1920*1080,U,Shemaroo,,,2026-04-01,2027-03-31,"Drama, Romance",B Subhash,"Aamir Khan, Juhi Chawla, Dalip Tahil, Raza Murad, Gulshan Grover, Om Shiv Puri, Anand Balraj",Bappi Lahiri,Anjaan,"Asha Bhosle, Parvati Khan, Shobha Joshi, Vijay Benedict",Yes,MPEG-4,128 kbps,AAC LC,2180 kbps,AVC,U:\MOVIE MASTER\Love Love Love (1989)\Love Love Love (1989).mp4,,2417.43,25.0
Love Maniac (2023),,,,,,,,,1900-01-02 10:54:00,1920*1080,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,11100 kbps,AVC,U:\MOVIE MASTER\Love Maniac (2023)\Love Maniac (2023).mp4,,4811.99,25.0
Love Marriage  (1984),,,,,,,,,02:21:21,3840*2160,,,,,,,,,,,,,,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Love Marriage (1984)\Love Marriage  (1984).mp4,,9688.15,25.0
Love Marriage (1956),,,Hindi,Movie,Yes,B&W,1956.0,,,,,Cable Master,,,2026-04-01,2027-03-31,Romantic-comedy,Subodh Mukherjee,"Dev Anand, Mala Sinha, Helen",Shankar Jaikishan,"Jaipuri, Shailendra",,Yes,,,,,,,,,
Love Marriage (1984),,,Hindi,Movie,Yes,COL,1984.0,,02:19:00,1280*720,U,Ultra Cable,,,2026-04-01,2027-03-31,"Drama,Romance",Mehul Kumar,"Anil Kapoor, Meenakshi Seshadri, Mehmood, Asrani, Utpal Dutt, Aruna Irani, Shreeram Lagoo",Anu Malik,Anu Malik,"Amit Kumar, Alka Yagnik, Kishore Kumar, Shabbir Kumar, Anuradha Paudwal",Yes,,,,,,,,,
Love Platter … Serves Two (Episode 1 To 5)  (2019)       ,,,HINDI,Movie,Yes,COL,2019.0,5.0,,,,Shemaroo,,,2026-04-01,2027-03-31,,,"Amit Diondyi, Pratibha Tiwari, Duradshan Patil And Deepti Dyondi And Others",,,,Yes,,,,,,,,,
Love Possible (2012),,,Hindi,Movie,Yes,COL,2012.0,,02:06:27,1920*1080,,Eros,,,2026-04-01,2027-03-31,Romance,J H Nakra,"Karan Mehra, Raj Singh Arora, Srishti Sharma, Anisha Verma, Anuradha","Afsar, Sajid","Afsar, Sajid","Shaan, Javed Ali, Sadhana Sargam, Shilpa Rao, Tarannum, Khushboo Jain, Farhad Bhiwandiwala, Sudesh Bhosle, Shafqat Amanat Ali",Yes,MPEG-4,253 kbps,AAC LC,2500 kbps,AVC,U:\MOVIE MASTER\Love Possible (2012)\Love Possible (2012).mp4,,2399.5,25.0
Love Shots (2019),,,Hindi,Movie,Yes,COL,2019.0,,01:42:36,1920*1080,UA,Shemaroo,,,2026-04-01,2027-03-31,"Adult, Drama, Romance",Prithviraj Oberoi,"Ravneet Singh, Sulakshana Rai, Sudha Chandran, Rajesh Puri, Pushpa Varma","Dev Hazarika, Paul Samuel",Prithviraj Oberoi,"Akanksha Bhandari, Maneesh Bhargava, Devangi Das, Dev Hazarika, Amrita Kak",Yes,Matroska,,AAC LC,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Love Shots (2019)\Love Shots (2019).mkv,,2297.2,25.0
"Love, Wrinkle-Free (2011)",,,Hindi,Movie,Yes,COL,2011.0,,01:47:39,1920*1002,V/UA,Shemaroo,,,2026-04-01,2027-03-31,"Adult,Romance",Sandeep Mohan,,,,,Yes,MPEG-TS,,AAC LC,,AVC,"U:\MOVIE MASTER\Love, Wrinkle-Free (2011)\Love, Wrinkle-Free (2011).ts",,5341.05,
Lover Boy (1985),,,Hindi,Movie,Yes,COL,1985.0,,02:33:53,1920*1088,U,Shemaroo,,,2026-04-01,2027-03-31,"Drama,Romance",Shomu Mukerji,"Rajiv Kapoor, Meenakshi Sheshadri, Anita Raj",Bappi Lahiri,Anjaan,"Kishore Kumar, Asha Bhosle",Yes,MPEG-4,317 kbps,AAC LC,7286 kbps,AVC,U:\MOVIE MASTER\Lover Boy (1985)\Lover Boy (1985).mp4,,8687.38,25.0
Lovers Club,,,,,,,,,02:16:09,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2324 kbps,AVC,U:\MOVIE MASTER\Lovers Club (2017)\Lovers Club.mp4,,2391.17,24.0
Lovers Club (2017),,,Hindi,Movie,Yes,COL,2017.0,,,,,Ultra Cable,,,2026-04-01,2027-03-31,"Action, Romance, Drama",Dhruv Sekhar,"Anish Chandra, Aryan, Pavani, Poorni, Chitram Basha, Ajay Rathnam, Vizag Prasad",Ravi Nidamarthy,"Rambabu Gosala, Dhruv Sekhar","Aditya, Ramya Behra, Madhu Priya",Yes,,,,,,,,,
Luck (2009),,,Hindi,Movie,Yes,COL,2009.0,,02:14:00,1920*1080,U/A,Shemaroo,,,2026-04-01,2027-03-31,Action thriller,Soham Shah,"Sanjay Dutt, Imran Khan, Shruti Haasan, Mithun Chakraborty, Danny Denzongpa, Ravi Kishan, Rati Agnihotri","Salim Merchant, Sulaiman Merchant","Anvita Dutt Guptan, Shabbir Ahmed","Anushka Manchanda, Clinton Cerejo, D J Amyth, Naresh Kamat, Robert Bob Omulo, Salim Merchant, Satya Hinduja, Shruti Haasan, Shruti Pathak, Sukhwinder Singh, Sulaiman Merchant",Yes,MPEG-4,317 kbps,AAC LC,10452 kbps,AVC,U:\MOVIE MASTER\Luck (2009)\Luck (2009).mp4,,10382.64,25.0
Luck Story Of Gangster (2021),,,HINDI,Movie,Yes,COL,2021.0,,01:18:20,1920*1080,V/UA,Shemaroo,,,2026-04-01,2027-03-31,Action / Crime / Drama,Shahid Kazmi (ShemarooMe),"Arjun Manhas, Aarti Bhagat, Tariq Imtiaz, Rani Bhan, Mona Manhas, Suresh Rana, Rahul Dev Singh, Shadab Khan (ShemarooMe)",,,,Yes,MPEG-4,128 kbps,AAC LC,1147 kbps,AVC,U:\MOVIE MASTER\Luck Story Of Gangster (2021)\Luck Story Of Gangster (2021).mp4,,718.25,25.0
Lucky Number (1962),,,,,,,,,02:29:36,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1486 kbps,AVC,U:\MOVIE MASTER\Lucky Number (1962)\Lucky Number (1962).mp4,,1729.92,25.0
Lust - Crime Story,,,Hindi,Crime Series,Yes,COL,,,1900-01-02 04:48:00,1920*1080,,Eagle,,,2026-04-01,2027-03-31,Crime Series,,,,,,Yes,MPEG-4,128 kbps,AAC LC,1443 kbps,AVC,U:\MOVIE MASTER\Lust - Crime Story\Lust - Crime Story.mp4,,595.65,25.0
Luv Phir Kabhi (2014),,,Hindi,Movie,Yes,COL,2014.0,,01:59:20,1920*1080,,Eros,,,2026-04-01,2027-03-31,Romance,Ajay Yadav,"Saurabh Roy, Arijita Roy, Meghna Patel, Narendra Bedi","Bubli Haque, Ashfaque Ahmed","Bubli Haque, Ashfaque Ahmed","Altamash Faridi, Amit Mishra, Aman Trikha, Nambardar",Yes,MPEG-4,253 kbps,AAC LC,2500 kbps,AVC,U:\MOVIE MASTER\Luv Phir Kabhi (2014)\Luv Phir Kabhi (2014).mp4,,2261.39,25.0
Luv-Kush (Animation),,,Hindi,Animation Movie,Yes,COL,,,,,,Eagle,,,2026-04-01,2027-03-31,Animation Movie,,,,,,Yes,,,,,,,,,
MAN KA MEET  (1969),,,,,,,,,02:31:41,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2148 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\MAN KA MEET  (1969)\MAN KA MEET  (1969).mp4,,2476.37,25.0
MARYADA (1971),,,,,,,,,02:24:56,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2217 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\MARYADA (1971)\MARYADA (1971).mp4,,2437.61,23.976
Maa (1976),,,Hindi,Movie,Yes,COL,1976.0,,02:18:11,640*480,,Ultra Cable,,,2026-04-01,2027-03-31,Drama / Family,M. A. Thirumugham,"Dharmendra, Hema Malini, Nirupa Roy, Ranjeet, Om Prakash",Laxmikant–Pyarelal,Anand Bakshi,"Lata Mangeshkar, Mohammed Rafi, Kishore Kumar, others",Yes,MPEG-4,128 kbps,AAC LC,640 kbps,AVC,U:\MOVIE MASTER\Maa (1976)\Maa (1976).mp4,,762.27,25.0
Maa (1992),,,,,,,,,02:21:06,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,3719 kbps,AVC,U:\MOVIE MASTER\Maa (1992)\Maa (1992).mp4,,3887.45,25.0
Maa Baap (1960),,,Hindi,Movie,Yes,B&W,1960.0,,02:28:15,768*576,U,Cable Master,,,2026-04-01,2027-03-31,"Family, Romance",V M Vyas,"Rajendra Kumar, Kamini Kadam, Pran, Anwar, Kumar, Naaz",Chitragupt,Chitragupt,Rajendra Krishan,Yes,MPEG-4,128 kbps,AAC LC,1995 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Maa Baap (1960)\Maa Baap (1960).mp4,,2263.72,25.0
Maa Beta(1962),,,,,,,,,02:19:09,640*480,,,,,,,,,,,,,,MPEG-4,126 kbps,AAC LC,507 kbps,AVC,U:\MOVIE MASTER\Maa Beta (1962)\Maa Beta(1962).mp4,,633.22,25.0
Maa Bhawani,,,,,,,,,01:48:49,1920*1080,,,,,,,,,,,,,,MPEG-4,126 kbps,AAC LC,3129 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Maa Bhawani\Maa Bhawani.mp4,,2538.33,25.0
Maa Devi Maa,,,,,,,,,02:20:51,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2580 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Maa Devi Maa\Maa Devi Maa.mp4,,1141.71,25.0
Maa Kasam (1985),,,,,,,,,02:17:26,1920*1080,,,,,,,,,,,,,,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Maa Kasam (1985)\Maa Kasam (1985).mp4,,1666.89,25.0
